arm_id,partition,n,prevalence,pr_auc,no_skill_pr_auc,lift_over_no_skill,roc_auc,brier,mean_p,flagged,review_rate,precision,recall,fit_seconds
lgbm__natural,valid,77822,0.033885019660250315,0.5988940079188009,0.033885019660250315,17.674300145717453,0.9263010474806815,0.021663394683080612,0.07104179117831774,14629,0.18798026265066434,0.15619659580285733,0.8665149791429655,102.6
lgbm__natural,test,78542,0.03531868299763184,0.5506960407876872,0.03531868299763184,15.59220203155967,0.9120922541447627,0.024531073551797213,0.0763419235514139,16524,0.21038425301112781,0.14270152505446623,0.8500360490266763,100.1
lgbm__weighted,valid,77822,0.033885019660250315,0.5966973182610664,0.033885019660250315,17.60947239352018,0.9226418242913845,0.0208159972146687,0.057310072658806596,10917,0.14028166842281103,0.19831455528075478,0.8210087220326128,81.1
lgbm__weighted,test,78542,0.03531868299763184,0.5568758539747347,0.03531868299763184,15.767174954175779,0.9130242057928589,0.023424839384150197,0.062206415777448794,12385,0.15768633342670163,0.18215583366976182,0.8132660418168709,80.7
lgbm__smote,valid,77822,0.033885019660250315,0.5920548981971373,0.033885019660250315,17.472467306597505,0.9291271695410201,0.02044489227472866,0.05221959206678127,8939,0.11486469121842152,0.2348137375545363,0.7959802806219188,208.3
lgbm__smote,test,78542,0.03531868299763184,0.5532093637467459,0.03531868299763184,15.66336331917697,0.914372913649735,0.023146907927376892,0.05833587822244761,10450,0.13304983321025693,0.2073684210526316,0.781182408074982,205.2
lgbm__smote_weighted,valid,77822,0.033885019660250315,0.5870211722232386,0.033885019660250315,17.323914169418607,0.9275070323942946,0.020824591893239406,0.05493370309473319,10086,0.12960345403613374,0.2122744398175689,0.8119074706105422,212.0
lgbm__smote_weighted,test,78542,0.03531868299763184,0.5542640687546375,0.03531868299763184,15.69322584287193,0.9111395155948676,0.02320645187282938,0.05977815781618892,11240,0.14310814596012325,0.19653024911032027,0.7963229992790195,209.0
