mode,batch_size,n_requests,n_transactions,p50_ms_per_tx,p95_ms_per_tx,p99_ms_per_tx,throughput_tx_per_s
"single, review",1,9,9,512.7865999820642,537.2961535176728,540.1933227258269,1.9501289620964688
"single, accept",1,51,51,296.186689985916,675.087995181093,3159.387279448565,3.376248946391045
batch,10,5,50,60.02764469885733,143.68510102824075,153.16000076424098,16.658991120120287
batch,50,5,250,44.03063013975043,66.74114233040018,69.32402345848968,22.711462380303516
batch,200,5,1000,46.614680615020916,52.14610927407921,52.36031849488209,21.452469196533855
