ca,global_threshold,global_cost,global_savings,global_review_rate,global_recall,elkan_cost,elkan_savings,elkan_review_rate,elkan_recall
1.0,0.057518871793964935,43811.15195655823,0.8912234192300931,0.31830330754799413,0.9241562381494122,62215.3840007782,0.8455284455975515,0.7808717329289918,0.9742131209708002
2.0,0.060773471967418245,67685.3549785614,0.8319473203976511,0.2982447122921539,0.9184679560106181,95282.97900056839,0.7634265204546586,0.5845519261905374,0.9412210845657945
4.0,0.08704082880739572,106661.17780733109,0.7351761434103133,0.18798026265066434,0.8665149791429655,132181.168987751,0.6718137971146297,0.3880265220631698,0.8873720136518771
8.0,0.1288157573464649,153065.90780639648,0.619960093719261,0.10933926139138032,0.7864998103905954,172544.81596040726,0.5715968589833805,0.2399578525352728,0.800910125142207
16.0,0.17558312268012619,203002.4318470955,0.4959751241830201,0.07269152681760942,0.7224118316268487,224245.2979197502,0.4432322440271254,0.14124540618334147,0.6302616609783845
