arm_id,model,imbalance_arm,selected,kind,a,b,implied_odds_factor,ranked_on,brier,log_loss,mean_p
logreg__natural,logreg,natural,True,identity,1.0,0.0,1.0,held-out fold 3,0.029321285276143548,0.12234692102318484,0.03767677244573335
logreg__natural,logreg,natural,False,shift,1.0,0.3315661943296042,0.7177986404443204,held-out fold 3,0.029534711368786475,0.12367387555340897,0.04821359800670472
logreg__natural,logreg,natural,False,platt,0.98894602105255,0.2996128559137673,,held-out fold 3,0.029517247688914113,0.12361552946809821,0.04816846667253703
logreg__weighted,logreg,weighted,False,identity,1.0,0.0,1.0,held-out fold 3,0.1450624877046911,0.45790250584459685,0.31559043268384834
logreg__weighted,logreg,weighted,False,shift,1.0,-3.3121022284413453,27.44275581639057,held-out fold 3,0.02970841368295255,0.12450656253345843,0.038360416395600026
logreg__weighted,logreg,weighted,True,platt,0.7258367129156155,-3.1176252807728164,,held-out fold 3,0.02957339317208836,0.12316575288622286,0.03887458951606459
logreg__weighted,logreg,weighted,False,analytic,1.0,-3.3133269203076923,27.47638532491851,held-out fold 3,0.02970736227220756,0.12450702893718499,0.038327717114113875
logreg__smote,logreg,smote,False,identity,1.0,0.0,1.0,held-out fold 3,0.03354824843321442,0.14098768646134663,0.07934292059923233
logreg__smote,logreg,smote,False,shift,1.0,-0.8641829968323591,2.373066490917245,held-out fold 3,0.029481554895795715,0.12350832407932004,0.04227656121364992
logreg__smote,logreg,smote,True,platt,0.8921327356315826,-1.0529376999258788,,held-out fold 3,0.029458778158826526,0.1230164735388908,0.042045521294082455
logreg__smote,logreg,smote,False,analytic,1.0,-1.0107418273136466,2.747638532491851,held-out fold 3,0.029421374957968635,0.12330899433981032,0.03797179528109491
logreg__smote_weighted,logreg,smote_weighted,False,identity,1.0,0.0,1.0,held-out fold 3,0.1431088905077687,0.4507012560395291,0.30871506191930154
logreg__smote_weighted,logreg,smote_weighted,False,shift,1.0,-3.2800574986547524,26.57730081498507,held-out fold 3,0.029827598399200496,0.1254899190438678,0.038737464616607015
logreg__smote_weighted,logreg,smote_weighted,True,platt,0.676843545713521,-3.0511270218800957,,held-out fold 3,0.029733625749692193,0.12406391659372885,0.03964269022395551
logreg__smote_weighted,logreg,smote_weighted,False,analytic,1.0,-3.3133269203076923,27.47638532491851,held-out fold 3,0.029796112997005877,0.12550431059067663,0.03785073068832695
lgbm__natural,lgbm,natural,False,identity,1.0,0.0,1.0,held-out fold 3,0.024322425715094614,0.1240690159231544,0.017993939638415692
lgbm__natural,lgbm,natural,False,shift,1.0,3.8177590332198266,0.021976995468743855,held-out fold 3,0.03454456821480538,0.13300139680977352,0.08804946786100944
lgbm__natural,lgbm,natural,True,platt,0.5380077152202034,1.0087928896617606,,held-out fold 3,0.024995170413628448,0.11254450633966759,0.0783249175028939
lgbm__weighted,lgbm,weighted,False,identity,1.0,0.0,1.0,held-out fold 3,0.023250230230673904,0.09882840079862126,0.03726032669162611
lgbm__weighted,lgbm,weighted,False,shift,1.0,0.8226034076374595,0.43928652264218243,held-out fold 3,0.025896072906768135,0.1040986759919675,0.05432630426490876
lgbm__weighted,lgbm,weighted,True,platt,0.6475705251647285,-0.24833450394926865,,held-out fold 3,0.023108517763899494,0.09663065315167652,0.05291149685669232
lgbm__weighted,lgbm,weighted,False,analytic,1.0,-3.3133269203076923,27.47638532491851,held-out fold 3,0.026934761325387826,0.15659039589436075,0.011942239768514237
lgbm__smote,lgbm,smote,False,identity,1.0,0.0,1.0,held-out fold 3,0.024107574183326916,0.11267937125609077,0.020694493550030706
lgbm__smote,lgbm,smote,False,shift,1.0,2.2095743316460217,0.10974735454993051,held-out fold 3,0.025331977296585068,0.10178932634494656,0.054080439625467075
lgbm__smote,lgbm,smote,True,platt,0.7134877131036028,0.8972708886938092,,held-out fold 3,0.023303762736223973,0.09686357674693188,0.05259123591577911
lgbm__smote,lgbm,smote,False,analytic,1.0,-1.0107418273136466,2.747638532491851,held-out fold 3,0.0258345990729031,0.13409797718911498,0.014849809080998644
lgbm__smote_weighted,lgbm,smote_weighted,False,identity,1.0,0.0,1.0,held-out fold 3,0.02294270600248246,0.09660963479928296,0.034659291908912405
lgbm__smote_weighted,lgbm,smote_weighted,False,shift,1.0,0.9201970383592335,0.39844052528210205,held-out fold 3,0.025138866174151286,0.1009175933483789,0.053901986710092206
lgbm__smote_weighted,lgbm,smote_weighted,True,platt,0.7051030559904736,-0.02376142354027496,,held-out fold 3,0.023123524090738524,0.09613987666207348,0.052638799722371704
lgbm__smote_weighted,lgbm,smote_weighted,False,analytic,1.0,-3.3133269203076923,27.47638532491851,held-out fold 3,0.027898051025282755,0.16045698010836348,0.010612675697064275
xgb__natural,xgb,natural,False,identity,1.0,0.0,1.0,held-out fold 3,0.023481844656939237,0.09543389414179021,0.02936726804716935
xgb__natural,xgb,natural,True,shift,1.0,0.8652435695884682,0.4209490097625925,held-out fold 3,0.023234159356395924,0.09496944467522787,0.048945677152167424
xgb__natural,xgb,natural,False,platt,1.0151878249517148,0.9173644991859065,,held-out fold 3,0.023272900682656385,0.09498020893129919,0.049029850507239986
xgb__weighted,xgb,weighted,False,identity,1.0,0.0,1.0,held-out fold 3,0.02388842897210046,0.11072411453044705,0.03177419604528766
xgb__weighted,xgb,weighted,False,shift,1.0,0.9323194049243404,0.39363964101111665,held-out fold 3,0.02587360957760428,0.1104868208091123,0.0464345171709125
xgb__weighted,xgb,weighted,True,platt,0.5718016785751877,-0.42524347236905874,,held-out fold 3,0.023376054041240487,0.09829003444139628,0.04616668770438849
xgb__weighted,xgb,weighted,False,analytic,1.0,-3.3133269203076923,27.47638532491851,held-out fold 3,0.027068483834631056,0.17356007799998913,0.01250629279616062
