model,imbalance_arm,pr_auc,roc_auc,brier,global_threshold,cost_global,savings_global,cost_per_transaction_rule,savings_per_transaction_rule,recall_at_p50
lgbm,natural,0.5988940603579418,0.926301044958777,0.021663393825292587,0.087040825557888,106661.17780733109,0.7351761434103133,132181.168987751,0.6718137971146297,0.602957906712173
lgbm,weighted,0.5966973176805502,0.9226418142037657,0.020815998315811157,0.050546391874103605,110465.64489603043,0.7257302169035028,107294.43196344376,0.7336038674307049,0.6052332195676906
lgbm,smote,0.5920548981971374,0.9291271695410201,0.02044489234685898,0.065749548170202,104908.20173978806,0.7395285225257469,100979.53497171402,0.7492828183826372,0.6006825938566553
lgbm,smote_weighted,0.5870211722232386,0.9275070323942944,0.02082459069788456,0.05737026345759704,95547.90199899673,0.7627687560122874,104117.44396924973,0.7414918565778092,0.5965111869548729
xgb,weighted,0.5734615965636058,0.9071201187494308,0.020432503893971443,0.04921578164947647,119596.37287092209,0.7030599760015132,98036.04493951797,0.7565910667836396,0.5881683731513083
xgb,natural,0.5627453632195619,0.9220967297226063,0.021021300926804543,0.036495560588767954,104546.8408741951,0.7404257278633793,91713.64889478683,0.772288636769952,0.5445582100872203
xgb,smote_weighted,0.5586917034028389,0.9171864778799074,0.021490134298801422,0.026616902032255522,117151.92005634308,0.7091291891390024,92692.12195920944,0.7698592335342442,0.5593477436480849
xgb,smote,0.5430075972540911,0.9170586198336859,0.02140454575419426,0.03432607776800492,111321.19885492325,0.7236060035432881,95849.72992658615,0.7620193621142087,0.5521425862722791
logreg,smote_weighted,0.36458071823932037,0.8425738342451408,0.026369882747530937,0.03759398285650927,173762.63500618935,0.5685731952384053,127917.64989709854,0.6823994815355338,0.3067880166856276
logreg,weighted,0.36107428801883823,0.8449231246530333,0.026372088119387627,0.03680954934249546,169947.49800419807,0.5780456135545652,127085.0428776741,0.6844667210545452,0.3079256731133864
logreg,smote,0.3506264050416924,0.8346505443316926,0.026507794857025146,0.02540043640629689,176962.47293806076,0.5606284730911321,129660.52083539963,0.67807219195457,0.2938945771710277
logreg,natural,0.3470624146748619,0.833987464973581,0.02657780982553959,0.02314060481083124,176728.34394216537,0.5612097806006412,127922.65185213089,0.6823870624243877,0.2863102009859689
