k,pr_auc,roc_auc,d_pr_auc,threshold,review_rate,precision,recall,cost_ed,savings,fit_s
290,0.5988940079188009,0.9263010474806815,0.0,0.004829213699286118,0.18798026265066434,0.15619659580285733,0.8665149791429655,106661.17780733109,0.7351761434103133,3.9171454906463623
150,0.5944152105676292,0.9258388680945238,-0.004478797351171626,0.003634897753122878,0.23057747166610984,0.13074008024966563,0.8896473265073948,106762.54796409607,0.7349244563728226,70.35491943359375
100,0.5958915943068054,0.9276329662272323,-0.0030024136119954914,0.005016704213863483,0.19198941173447098,0.15407268589786494,0.8729616989002654,103768.0327911377,0.7423593926169324,53.62383437156677
50,0.5577065489486456,0.9237523147617498,-0.0411874589701553,0.005683740037126993,0.2080260080696975,0.14151584409166718,0.8687902919984831,111112.5778260231,0.7241239785607667,35.6454222202301
25,0.51152936580114,0.9107849405671546,-0.08736464211766093,0.005733976972250265,0.23558890802086813,0.12435911421402858,0.8646188850967008,129150.76183223724,0.6793378478185305,27.009584665298462
