tx_day,n,review_rate,score_psi,max_feature_psi,psi_excess,psi_excess_feature,named_share_shift_pp,roll_recall,roll_recall_rel_drop,n_signals,decision,reason
127,3335,0.1913043478260869,0.0045621713040359,0.6499900228434794,0.0008352793601451997,c2,0.5225537926159092,,,0,no_action,-
128,2507,0.1998404467491025,0.012881969194366,0.5625619352763409,0.12770549828823208,d15,0.1443875588561098,,,0,no_action,-
129,2348,0.1980408858603066,0.0111794833321344,1.073031420811215,0.9674361386358962,d15,-2.287352618572754,0.8975265017667845,-0.03578879000394343,1,investigate,feature
130,2807,0.1574634841467759,0.0168341756351704,1.1625513994548966,1.0569561172795776,d15,0.0980623885017877,0.8756613756613757,-0.010555381890174052,1,investigate,feature
131,2822,0.200921332388377,0.0030275110513288,0.5784844334408001,0.0611988724204382,d4,-1.960514722396255,0.8902691511387164,-0.027413458009976004,0,no_action,-
132,2752,0.1940406976744186,0.0030530222405453,0.6176700892751211,0.0067185942650974,c5,1.0796715956535508,0.8866328257191202,-0.0232169634228971,0,no_action,-
133,2687,0.1950130256791961,0.0068337388839372,0.6438655089238573,0.0002952872616057006,c11,0.8020188131835937,0.8954607977991746,-0.033404868182242246,0,no_action,-
134,2937,0.1855635001702417,0.0061802579129984,0.5737907714356082,0.41893568274412263,d1,-2.8175625274720346,0.8914209115281502,-0.02874264494517812,1,investigate,feature
135,2429,0.1753808151502676,0.0088918038774347,0.6627421572485002,0.027248027128989993,card_cnt_hist,-2.5525866456700754,0.9009126466753585,-0.03969656423760194,0,no_action,-
136,2048,0.19140625,0.0033548097650115,0.5838713120750388,0.10291969058960071,card_cnt_hist,-0.0794985289879264,0.8915492957746479,-0.028890806546059765,0,no_action,-
137,2914,0.1551132463967055,0.0152724178430974,0.5856524980982976,0.0809895779716542,amt_cents,0.673980636882817,0.9005847953216374,-0.039318207992629216,0,no_action,-
138,2846,0.1848208011243851,0.0017308011144242,0.6880794365048339,0.06062855154250311,d1,1.7992425419083276,0.8885672937771346,-0.02544943268722275,0,no_action,-
139,2769,0.1769591910436981,0.0067979688842482,0.667444651996563,0.0320977364304,d1,-1.77504752938232,0.8850931677018633,-0.02144012395177835,0,no_action,-
140,2629,0.1981742107265119,0.006441348872065,0.7352608724558141,0.08527084961233466,uid_account_freq,-0.3877755622560244,0.8772504091653028,-0.012389203049848392,0,no_action,-
141,3000,0.1853333333333333,0.0050150359406656,0.7291032305127652,0.4792967469206206,d1,-0.5384554395791952,0.8528951486697965,0.015717940025272,1,investigate,feature
142,2391,0.2045169385194479,0.0055403065876267,0.7759349470925343,0.1259449242490549,uid_account_freq,-0.3126748790924978,0.843558282208589,0.026493133398665592,0,no_action,-
143,2064,0.1753875968992248,0.0035909656624198,0.6839627999338889,0.03397277709040947,uid_account_freq,-0.4294583346247975,0.8476923076923077,0.021722268978286424,0,no_action,-
144,2718,0.170345842531273,0.0079575226541523,0.6340556750019342,0.06997007357091191,d15,3.566909298852906,0.849478390461997,0.0196610434799623,0,no_action,-
145,2668,0.1757871064467766,0.0057555303827253,0.749687185846608,0.09969716300312859,uid_account_freq,-0.7305647687114885,0.84185303514377,0.02846107060213505,0,no_action,-
146,2990,0.1896321070234113,0.0027891510848057,0.753756708406476,0.10376668556299662,uid_account_freq,2.40010119826637,0.8386123680241327,0.03220095646405337,0,no_action,-
147,2718,0.2240618101545254,0.0164734285792546,0.9043170347635582,0.2543270119200788,uid_account_freq,2.355221844179354,0.8247261345852895,0.04822633833636389,1,investigate,feature
148,3060,0.2839869281045751,0.1406272454458353,2.2067301488291453,2.192160865391096,amt_cents,0.2262873923186106,0.8434343434343434,0.02663616471056297,2,investigate,"feature, review"
149,2289,0.2717343818261249,0.0960868019021843,1.899070506226297,1.8811731326583334,transactionamt,1.9487991976013743,0.8473967684021544,0.02206333554639776,2,retrain,"feature, review"
