tx_day,n_flagged,named_share,named_coverage,precision,recall,pr_auc,n_fraud,n_labelled,named_share_shift_pp,recall_rel_drop,precision_rel_drop
127,638,88.66860210729548,99.21630094043887,0.11912225705329153,0.9047619047619048,0.7556410411000645,84,3335,0.5225537926159092,-0.044138793372929044,0.23735689346494446
128,501,88.29043587353569,99.20159680638723,0.11377245508982035,0.8260869565217391,0.472680460400339,69,2507,0.14438755885610988,0.04665588431167348,0.27160733238118945
129,465,85.85869569610682,99.78494623655914,0.26021505376344084,0.9307692307692308,0.7877696730372247,130,2348,-2.287352618572754,-0.07415249957919545,-0.6659457424531187
130,442,88.24411070318136,99.77375565610859,0.17420814479638008,0.8105263157894737,0.683116791539211,95,2807,0.09806238850178772,0.06461361280663369,-0.11531332613840016
131,567,86.18553359228332,98.94179894179894,0.1746031746031746,0.9428571428571428,0.5353056095070083,105,2822,-1.9605147223962547,-0.08810253204126288,-0.11784238129971171
132,534,89.22571991033313,99.43820224719101,0.1760299625468165,0.8703703703703703,0.5576169518652289,108,2752,1.0796715956535508,-0.00444930707512762,-0.1269769462132948
133,524,88.94806712786317,99.04580152671755,0.24236641221374045,0.9338235294117647,0.7369758288845941,136,2687,0.8020188131835937,-0.07767730724674991,-0.5516753804266123
134,545,85.32848578720754,98.34862385321101,0.1651376146788991,0.8737864077669902,0.635377226745086,103,2937,-2.8175625274720346,-0.00839157867901674,-0.05724208539939385
135,426,85.5934616690095,98.82629107981221,0.19483568075117372,0.9222222222222223,0.7501358609519124,90,2429,-2.5525866456700754,-0.06428884026258212,-0.2473746930892431
136,392,88.06654978569165,98.9795918367347,0.16071428571428573,0.863013698630137,0.5744822942161291,73,2048,-0.07949852898792642,0.004040646263601203,-0.02892310096905296
137,452,88.82002895156239,99.5575221238938,0.13274336283185842,0.8695652173913043,0.5427859730092405,69,2914,0.673980636882817,-0.0035201217771857773,0.1501520109990123
138,526,89.9452908565879,99.4296577946768,0.1844106463878327,0.8660714285714286,0.6803520507219716,112,2846,1.7992425419083276,0.0005118787120974942,-0.18063166127247468
139,490,86.37100078529726,98.9795918367347,0.10204081632653061,0.819672131147541,0.31077795986917073,61,2769,-1.77504752938232,0.05405890160347237,0.3467154914482204
140,521,87.75827275242355,99.23224568138195,0.1785028790786948,0.9029126213592233,0.5768672964990371,103,2629,-0.3877755622560244,-0.04200463130165075,-0.1428090232132282
141,556,87.60759287510038,99.64028776978417,0.17805755395683454,0.7557251908396947,0.4758198959145239,131,3000,-0.5384554395791952,0.127856749127232,-0.13995796798010177
142,489,87.83337343558708,99.59100204498978,0.17995910020449898,0.8543689320388349,0.6645626451582086,103,2391,-0.3126748790924978,0.014017123069405845,-0.15213202489786248
143,362,87.71658998005478,99.4475138121547,0.17679558011049723,0.9014084507042254,0.6766405830052292,71,2064,-0.42945833462479754,-0.040268745954941926,-0.13187857393280705
144,463,91.71295761353248,99.78401727861771,0.17062634989200864,0.8777777777777778,0.5801838698698885,90,2718,3.566909298852906,-0.012997811816192549,-0.09238200112481164
145,469,87.41548354596809,98.29424307036247,0.11513859275053305,0.8059701492537313,0.48069718895230934,67,2668,-0.7305647687114885,0.06987164832293674,0.2628610619923203
146,567,90.54614951294595,99.29453262786596,0.13932980599647266,0.8061224489795918,0.45305568601489377,98,2990,2.40010119826637,0.06969588710757825,0.10798436239719975
147,609,90.50127015885893,99.17898193760263,0.10509031198686371,0.810126582278481,0.5078662952843049,79,2718,2.355221844179354,0.06507492452150793,0.32719204636506377
148,869,88.37233570699819,99.5397008055236,0.08400460299194476,0.8488372093023255,0.45674488776025374,86,3060,0.22628739231861061,0.02040099740471228,0.46218672333953614
149,622,90.09484751228095,99.19614147909968,0.09485530546623794,0.8939393939393939,0.5046322917909104,66,2289,1.9487991976013745,-0.0316490948876069,0.3927184841726062
