tx_day,n,review_rate,review_rate_rel_dev,score_psi,max_feature_psi,top_drift_feature,n_psi_gt_warn,n_psi_gt_alert,evidently_drifted,evidently_share
127,3335,0.19130434782608696,0.017683160607132375,0.004562171304035943,0.6499900228434794,uid_account_freq,3,2,2.0,0.1
128,2507,0.1998404467491025,0.06309270947492346,0.012881969194366027,0.5625619352763409,uid_account_freq,4,3,5.0,0.25
129,2348,0.19804088586030663,0.05351957204325536,0.01117948333213447,1.073031420811215,d15,5,4,8.0,0.4
130,2807,0.1574634841467759,-0.16234033336042142,0.016834175635170465,1.1625513994548966,d15,5,5,7.0,0.35
131,2822,0.20092133238837703,0.06884270484163493,0.0030275110513288237,0.5784844334408001,uid_account_freq,4,2,6.0,0.3
132,2752,0.19404069767441862,0.032239741227603085,0.0030530222405453773,0.6176700892751211,uid_account_freq,2,2,6.0,0.3
133,2687,0.19501302567919612,0.037412241739449084,0.0068337388839372175,0.6438655089238573,uid_account_freq,2,2,4.0,0.2
134,2937,0.18556350017024173,-0.012856469324728153,0.006180257912998463,0.5737907714356082,uid_account_freq,3,3,6.0,0.3
135,2429,0.1753808151502676,-0.06702537448737951,0.008891803877434714,0.6627421572485002,uid_account_freq,2,2,5.0,0.25
136,2048,0.19140625,0.0182252503588762,0.003354809765011545,0.5838713120750388,uid_account_freq,3,2,8.0,0.4
137,2914,0.15511324639670557,-0.1748429105827862,0.015272417843097444,0.5856524980982976,uid_account_freq,4,2,8.0,0.4
138,2846,0.1848208011243851,-0.01680741095755714,0.0017308011144242363,0.6880794365048339,uid_account_freq,2,2,6.0,0.3
139,2769,0.1769591910436981,-0.05862887651905991,0.006797968884248203,0.667444651996563,uid_account_freq,2,2,5.0,0.25
140,2629,0.19817421072651198,0.05422882132467122,0.006441348872065098,0.7352608724558141,uid_account_freq,2,2,5.0,0.25
141,3000,0.18533333333333332,-0.014080889557272148,0.005015035940665612,0.7291032305127652,uid_account_freq,4,3,6.0,0.3
142,2391,0.20451693851944794,0.08797027749405137,0.005540306587626701,0.7759349470925343,uid_account_freq,3,2,3.0,0.15
143,2064,0.1753875968992248,-0.0669892975670604,0.003590965662419807,0.6839627999338889,uid_account_freq,3,2,5.0,0.25
144,2718,0.170345842531273,-0.09380995574073915,0.007957522654152342,0.6340556750019342,uid_account_freq,4,2,7.0,0.35
145,2668,0.17578710644677661,-0.06486402365841482,0.005755530382725377,0.749687185846608,uid_account_freq,3,2,7.0,0.35
146,2990,0.18963210702341138,0.008787328783643463,0.002789151084805701,0.753756708406476,uid_account_freq,3,1,5.0,0.25
147,2718,0.2240618101545254,0.19194327635829347,0.016473428579254674,0.9043170347635582,uid_account_freq,2,2,4.0,0.2
148,3060,0.28398692810457515,0.5107273715875486,0.14062724544583538,2.2067301488291453,amt_cents,5,4,6.0,0.3
149,2289,0.27173438182612497,0.44554741010818905,0.09608680190218438,1.899070506226297,transactionamt,5,4,7.0,0.35
